Sale ID,Sale Date,Coupon Type,Name,Phone Number,Roll NO,Paytm,Cash,Total Amount
43,1981-08-20 03:43:40,7 days,Stacey Warner,001-840-676-7837,902114,875,95,9200
44,1992-06-11 02:15:02,7 days,Kelly Walker,973.289.6421x7383,515640,923,736,8116
45,2001-08-25 19:12:35,30 days,Melissa Bradley,408-745-5859x930,165419,366,996,7289
46,1997-06-05 04:55:14,30 days,Amanda Miller,270.644.7599x44286,819996,95,827,2703
47,2000-08-19 18:18:06,7 days,Tommy Moody,(255)532-2993x2252,215016,523,425,7822
48,2012-10-27 00:42:14,30 days,Nicholas Hill,535-379-6082x270,376630,751,866,4240
49,2012-12-31 20:25:27,7 days,Tonya Reed,6144725189,373133,60,643,314
50,2001-01-13 21:05:32,30 days,Terry Garcia,(978)768-9023x60150,233129,141,572,8240
51,1999-05-29 19:31:39,7 days,Eric Allen,300-459-5640x61316,468202,494,874,83
52,2022-09-01 19:21:27,30 days,Breanna Jenkins,(784)474-7831,563998,308,499,7939
53,1995-05-12 10:21:25,30 days,Gregg Flores,(604)536-7044x456,736343,392,31,3335
54,2015-01-07 15:50:05,30 days,Jillian Lamb,933.471.6859,208002,247,71,9427
55,1997-08-01 02:42:46,30 days,Allison Gordon,641-865-5234x32427,683797,580,784,6745
56,1978-04-23 09:49:03,30 days,Harold James,2634757372,258221,305,524,4355
57,1981-09-13 10:49:12,30 days,Misty Griffin,8619470365,722344,678,19,5566
58,1982-03-19 22:03:17,30 days,Karina Gates,385.706.2219,503972,942,9,2050
59,2015-08-26 04:34:53,30 days,Sarah Valdez,997.275.7206x4608,532697,216,623,8774
60,1975-12-10 00:00:49,7 days,Erin Johnston DDS,+1-464-854-4493x1601,176096,942,479,285
61,1989-08-04 10:08:58,30 days,Laura Williams,(546)979-3068,4679,575,460,7763
62,1994-07-22 17:52:59,7 days,Danielle Pearson,(292)570-6353,676981,886,381,6784
63,1994-06-12 10:47:41,30 days,Jessica Mclaughlin,492-278-1472x3262,625588,700,622,7434
64,2001-10-10 16:09:18,7 days,Gregory Zimmerman,(303)469-3162x900,579028,497,961,375
65,2005-11-30 03:29:06,7 days,Stephen Murphy,001-737-504-3214x3127,301300,810,947,2084
66,2009-01-18 08:21:39,30 days,Emily Juarez,001-687-354-4917x892,625904,324,180,9586
67,2020-12-27 03:41:40,30 days,Ethan Schwartz,960.608.6853x5347,78728,30,926,795
68,1998-12-02 14:50:20,30 days,Nicole Franklin,(435)689-8402,127082,387,823,718
69,1983-11-01 16:26:39,30 days,Christina Mitchell,937-426-7762x30727,270790,244,745,4128
70,2012-12-14 15:34:49,30 days,Ashley Wright,2766394302,210050,963,529,1927
71,2005-04-02 11:02:04,30 days,Jonathan Ford,263-780-0362x375,115198,150,86,1010
72,2012-08-14 08:27:12,7 days,Robert Jackson,(958)830-9509,558083,979,946,972
73,1973-05-29 17:49:50,7 days,Chad Martin,8176538385,602565,520,514,9568
74,1996-08-17 00:34:29,30 days,Clinton Hill,867.363.2895x2958,467874,744,392,2260
75,1994-10-17 07:25:30,30 days,Jeffery Cox,+1-583-804-4264x385,966842,213,914,6340
76,1990-04-04 03:19:56,7 days,David Sheppard,+1-734-649-5459x62707,316470,837,686,9713
77,1972-10-22 13:53:40,7 days,Jesse Taylor,9224949899,82134,616,40,7606
78,1998-08-18 22:26:55,30 days,Ryan Richardson,(202)468-6470,712893,550,388,8732
79,1988-03-12 02:52:57,30 days,Marcus Washington,580-739-0060,452556,184,60,1280
80,1994-08-01 21:40:09,7 days,Edward Brock,467-300-5112x59833,212374,353,162,6481
81,2015-11-29 14:17:09,7 days,Sharon Miller MD,(378)928-9643,159171,841,173,4799
82,1985-06-23 03:39:38,30 days,Tiffany Ramos,+1-356-685-2406x81842,293302,875,4,3924
83,2009-05-21 02:17:17,7 days,Ryan Smith,962.725.2584x5895,606505,196,391,734
84,1985-01-03 19:45:03,30 days,Jesus Hill,(216)268-9070x87063,562607,718,23,709
85,1985-07-25 11:44:51,7 days,Jessica Todd,001-554-762-8060,603923,472,613,7493
86,2004-07-18 23:30:53,30 days,Jason Hammond,(492)891-6335,241972,552,198,730
87,2018-12-24 03:41:04,30 days,Marcus Brown,001-976-637-5259x3894,181230,482,747,6315
88,2006-02-11 21:18:42,7 days,Ashley Burns,+1-996-757-8955,927249,122,101,7721
89,2014-12-28 12:29:47,7 days,Heather Townsend,7554651741,536757,130,490,4733
90,1984-12-20 09:47:12,7 days,William Adams,928-334-4389,204494,970,576,4289
91,2003-06-18 19:36:16,7 days,Travis Malone DDS,245-464-0174x42994,720971,420,70,8358
92,1984-03-04 13:43:25,30 days,William Hall,(369)993-0626,592298,869,167,8678
93,1970-07-16 09:16:30,7 days,Justin Ray,708.372.3566,410445,881,260,6347
94,2009-03-22 10:47:39,7 days,Brittany Zimmerman,477.557.3188x3894,988903,419,475,4812
95,1996-05-20 20:14:02,30 days,Sandra Gardner,283-706-7761,384579,372,760,4247
96,1985-08-06 14:10:11,7 days,Larry Boyd,858-732-9665,828136,818,581,1523
97,2001-07-18 20:43:25,30 days,Kayla Blake,684-946-5909x122,615052,483,281,4875
98,1975-09-14 18:53:35,7 days,Sarah Vasquez,928.391.6624x6782,32645,923,833,5476
99,1981-11-03 21:04:12,7 days,Steven Koch,+1-545-669-4951,660468,282,955,2971
100,2018-02-25 22:37:47,7 days,Sherry Ayala,001-738-995-3878x391,411903,490,232,7678
