Sr No,Card Number,Membership Expiry,Name,Roll No,Sex,Department,Presence,Unique_Key,Key_Combination,LookUp_Count,Update_Count
91,406,2014-11-24,Robert Barr,2023483,Female,PhD,False,2023483_91,Roll_No:Sr_No,0,0
92,626,1998-03-25,David Cooper,2020707,Male,PhD,True,2020707_92,Roll_No:Sr_No,0,0
93,673,2003-12-23,Jamie Acevedo,2024332,Male,BTech,True,2024332_93,Roll_No:Sr_No,0,0
94,493,2009-07-12,Ashley Grant,2024914,Male,Mtech,False,2024914_94,Roll_No:Sr_No,0,0
95,325,1988-06-22,Johnny Dixon,2018056,Female,BTech,True,2018056_95,Roll_No:Sr_No,0,0
96,696,1988-06-12,Patricia Hill MD,2021177,Female,Mtech,True,2021177_96,Roll_No:Sr_No,0,0
97,282,1972-07-27,Adam Taylor,2024428,Male,BTech,True,2024428_97,Roll_No:Sr_No,0,0
98,254,2007-03-31,Lisa Mclean,2021732,Male,BTech,False,2021732_98,Roll_No:Sr_No,0,0
99,138,1995-01-22,Peggy Small,2021104,Female,PhD,True,2021104_99,Roll_No:Sr_No,0,0
100,218,1986-12-14,Richard Smith,2018319,Male,Mtech,True,2018319_100,Roll_No:Sr_No,0,0
