Sr No,Card Number,Membership Expiry,Name,Roll No,Sex,Department,Presence
62,267,2014-10-19,Kevin Ward,2023527,Male,BTech,True
63,59,1995-09-25,Mrs. Nicole Griffin,2022487,Male,PhD,True
64,29,2002-06-18,Christina Gordon,2024519,Female,BTech,True
65,710,1976-03-11,Mark Ramos,2021128,Male,PhD,False
66,63,1985-10-13,Brad Armstrong,2022725,Female,BTech,True
67,932,2006-05-03,Mark Schroeder,2019845,Female,PhD,False
68,598,1998-03-18,Bryan Donovan,2023552,Male,PhD,False
69,768,2023-01-25,Matthew Williams,2024967,Male,PhD,False
70,578,1976-07-09,Jessica Johnson,2023592,Female,Mtech,True
71,301,2022-04-03,Gregory Duke,2021131,Male,Mtech,False
72,109,2008-04-17,Mario Jordan,2022159,Female,Mtech,True
73,10,1974-08-26,Becky Reed,2020798,Female,PhD,True
74,610,2008-06-02,Shirley Huff,2024869,Female,PhD,True
75,102,1992-02-13,Christina White,2020246,Male,BTech,True
76,406,2021-10-25,Mr. Ian Ward,2024726,Male,Mtech,True
77,458,1997-09-21,Kevin Ward,2023527,Female,BTech,True
78,431,1980-08-15,Christopher Nichols,2022230,Male,PhD,True
79,121,1994-10-25,Christy Gibson PhD,2019842,Male,BTech,False
80,552,2021-09-10,Jocelyn Ward,2018118,Female,BTech,False
81,349,2009-01-29,Lawrence Weaver,2023962,Female,Mtech,False
82,241,1974-11-13,Tara Morris,2023959,Male,PhD,False
83,548,2018-01-12,John Henry,2024494,Male,BTech,False
84,506,2011-01-20,Harold Moreno,2020213,Male,BTech,True
85,417,1970-03-20,Mrs. Nicole Griffin,2022487,Female,PhD,True
86,521,2001-11-04,Marcia Molina,2024019,Female,Mtech,False
87,597,1989-07-17,Charles Melton,2023609,Male,PhD,True
88,42,2012-10-22,Jesse Wallace,2018418,Female,BTech,False
89,555,2000-09-28,Todd Arellano,2020269,Male,BTech,False
90,722,1974-08-30,Mark Ramos,2021128,Female,PhD,True
91,631,2008-10-23,Nicole Walsh,2019540,Female,BTech,True
92,331,2019-11-03,Collin Flores,2022546,Male,PhD,False
93,151,1986-12-22,Ryan George,2018098,Female,Mtech,True
94,909,1987-12-03,Brad Armstrong,2022725,Female,BTech,True
95,305,1987-11-14,Jocelyn Ward,2018118,Male,BTech,False
96,47,2020-06-27,Miguel Davis,2020187,Female,PhD,True
97,650,1994-05-06,Scott Freeman,2022328,Female,Mtech,True
98,30,1986-07-01,Harold Moreno,2020213,Female,BTech,False
99,465,1996-09-30,Joseph Alvarado Jr.,2020630,Male,BTech,False
100,377,2011-10-23,Aaron Weeks,2021651,Female,Mtech,False
