Date,Name,Tax ID,Payment,Roll No,In_Time,Sign,Unique_Key,Key_Combination,LookUp_Count,Update_Count
1983-09-15,Carlos Carpenter PhD,4563,31,2022946,20:54,Carlos Carpenter PhD,2022946_20:54_1983-09-15,Roll_No:In_Time:Date,0,0
1998-12-02,Gina Graham,2689,396,2022778,17:00,Gina Graham,2022778_17:00_1998-12-02,Roll_No:In_Time:Date,0,0
1994-06-14,Vincent Ramirez,4601,263,2024381,04:29,Vincent Ramirez,2024381_04:29_1994-06-14,Roll_No:In_Time:Date,0,0
1976-02-18,Donald Brooks,2355,968,2020483,18:06,Donald Brooks,2020483_18:06_1976-02-18,Roll_No:In_Time:Date,0,0
1991-06-11,Jennifer Stuart,6673,755,2022742,19:44,Jennifer Stuart,2022742_19:44_1991-06-11,Roll_No:In_Time:Date,0,0
2002-02-10,Mr. Benjamin Henderson,8142,472,2018432,12:01,Mr. Benjamin Henderson,2018432_12:01_2002-02-10,Roll_No:In_Time:Date,0,0
2004-11-02,Jennifer Stuart,860,240,2022742,01:05,Jennifer Stuart,2022742_01:05_2004-11-02,Roll_No:In_Time:Date,0,0
1985-11-18,Sabrina Taylor,8332,135,2021767,05:15,Sabrina Taylor,2021767_05:15_1985-11-18,Roll_No:In_Time:Date,0,0
1994-01-28,Olivia Conley,574,984,2022620,22:08,Olivia Conley,2022620_22:08_1994-01-28,Roll_No:In_Time:Date,0,0
2002-11-24,Sarah Glenn,1564,213,2022210,02:37,Sarah Glenn,2022210_02:37_2002-11-24,Roll_No:In_Time:Date,0,0
1985-10-21,Samantha Trevino,241,926,2024617,19:59,Samantha Trevino,2024617_19:59_1985-10-21,Roll_No:In_Time:Date,0,0
2001-05-05,Charles Mueller,2954,795,2022120,02:08,Charles Mueller,2022120_02:08_2001-05-05,Roll_No:In_Time:Date,0,0
1970-08-19,Peter Berger,979,630,2023215,23:02,Peter Berger,2023215_23:02_1970-08-19,Roll_No:In_Time:Date,0,0
2017-01-30,Thomas Miller,9104,22,2022060,13:03,Thomas Miller,2022060_13:03_2017-01-30,Roll_No:In_Time:Date,0,0
1970-02-16,Donald Torres,618,506,2021044,21:50,Donald Torres,2021044_21:50_1970-02-16,Roll_No:In_Time:Date,0,0
2003-02-22,Samantha Trevino,2948,698,2024617,21:08,Samantha Trevino,2024617_21:08_2003-02-22,Roll_No:In_Time:Date,0,0
1979-11-03,Kayla Hanna,7790,200,2018142,19:57,Kayla Hanna,2018142_19:57_1979-11-03,Roll_No:In_Time:Date,0,0
1994-07-16,Erik Rivas,2933,930,2021633,00:50,Erik Rivas,2021633_00:50_1994-07-16,Roll_No:In_Time:Date,0,0
2019-10-02,Jo Bennett,5755,135,2024990,14:55,Jo Bennett,2024990_14:55_2019-10-02,Roll_No:In_Time:Date,0,0
2016-10-03,Brooke Romero,9297,855,2021515,22:37,Brooke Romero,2021515_22:37_2016-10-03,Roll_No:In_Time:Date,0,0
2005-11-11,Elizabeth Watson,9977,33,2019611,04:12,Elizabeth Watson,2019611_04:12_2005-11-11,Roll_No:In_Time:Date,0,0
2007-08-19,Megan Patterson,7558,526,2020636,07:59,Megan Patterson,2020636_07:59_2007-08-19,Roll_No:In_Time:Date,0,0
1999-03-28,Jesse Lopez,3675,617,2019046,23:33,Jesse Lopez,2019046_23:33_1999-03-28,Roll_No:In_Time:Date,0,0
1980-11-25,Rhonda Smith,9450,312,2023920,16:58,Rhonda Smith,2023920_16:58_1980-11-25,Roll_No:In_Time:Date,0,0
2000-08-19,Ryan Harris,746,257,2022966,21:20,Ryan Harris,2022966_21:20_2000-08-19,Roll_No:In_Time:Date,0,0
1983-01-20,Olivia Conley,8841,2,2022620,09:27,Olivia Conley,2022620_09:27_1983-01-20,Roll_No:In_Time:Date,0,0
1984-10-06,Margaret Lee,9664,162,2019595,07:31,Margaret Lee,2019595_07:31_1984-10-06,Roll_No:In_Time:Date,0,0
2012-01-09,Megan Patterson,1946,76,2020636,22:57,Megan Patterson,2020636_22:57_2012-01-09,Roll_No:In_Time:Date,0,0
2018-09-25,Rhonda Smith,3768,774,2023920,20:08,Rhonda Smith,2023920_20:08_2018-09-25,Roll_No:In_Time:Date,0,0
1995-09-01,Nicholas Anderson,7059,870,2019194,16:26,Nicholas Anderson,2019194_16:26_1995-09-01,Roll_No:In_Time:Date,0,0
1982-05-25,Aaron White,9757,501,2022283,09:19,Aaron White,2022283_09:19_1982-05-25,Roll_No:In_Time:Date,0,0
2023-06-11,Carlos Carpenter PhD,6912,402,2022946,06:00,Carlos Carpenter PhD,2022946_06:00_2023-06-11,Roll_No:In_Time:Date,0,0
2013-12-22,Hunter Ford,7440,8,2023818,14:04,Hunter Ford,2023818_14:04_2013-12-22,Roll_No:In_Time:Date,0,0
1994-09-24,Debra Ray,9090,227,2021096,22:25,Debra Ray,2021096_22:25_1994-09-24,Roll_No:In_Time:Date,0,0
1988-11-07,Sarah Glenn,9953,5,2022210,23:44,Sarah Glenn,2022210_23:44_1988-11-07,Roll_No:In_Time:Date,0,0
1971-02-02,Jo Bennett,538,859,2024990,22:11,Jo Bennett,2024990_22:11_1971-02-02,Roll_No:In_Time:Date,0,0
1980-09-02,Frank Graham,5576,771,2021328,09:06,Frank Graham,2021328_09:06_1980-09-02,Roll_No:In_Time:Date,0,0
1977-10-30,Brandy Miller,4741,684,2019918,03:27,Brandy Miller,2019918_03:27_1977-10-30,Roll_No:In_Time:Date,0,0
2001-06-29,Elizabeth Watson,9367,550,2019611,13:51,Elizabeth Watson,2019611_13:51_2001-06-29,Roll_No:In_Time:Date,0,0
2010-09-30,Jose Anthony,460,824,2024355,17:45,Jose Anthony,2024355_17:45_2010-09-30,Roll_No:In_Time:Date,0,0
2020-07-15,Erin Johnson,3362,251,2018325,13:08,Erin Johnson,2018325_13:08_2020-07-15,Roll_No:In_Time:Date,0,0
1993-11-25,Sarah Glenn,4474,978,2022210,22:48,Sarah Glenn,2022210_22:48_1993-11-25,Roll_No:In_Time:Date,0,0
2011-09-02,Timothy Lopez,633,343,2018420,02:37,Timothy Lopez,2018420_02:37_2011-09-02,Roll_No:In_Time:Date,0,0
2006-10-01,Peter Berger,1248,472,2023215,01:31,Peter Berger,2023215_01:31_2006-10-01,Roll_No:In_Time:Date,0,0
2004-12-18,Mr. Benjamin Henderson,5657,224,2018432,15:50,Mr. Benjamin Henderson,2018432_15:50_2004-12-18,Roll_No:In_Time:Date,0,0
1999-08-08,Jennifer Stuart,88,926,2022742,19:28,Jennifer Stuart,2022742_19:28_1999-08-08,Roll_No:In_Time:Date,0,0
1976-09-18,Colin Mitchell,5427,403,2023846,10:37,Colin Mitchell,2023846_10:37_1976-09-18,Roll_No:In_Time:Date,0,0
1972-03-15,Gina Hopkins,9286,772,2021209,15:50,Gina Hopkins,2021209_15:50_1972-03-15,Roll_No:In_Time:Date,0,0
2019-11-23,Aaron White,2128,82,2022283,03:01,Aaron White,2022283_03:01_2019-11-23,Roll_No:In_Time:Date,0,0
1986-04-18,Jeff Silva,4239,449,2018664,11:06,Jeff Silva,2018664_11:06_1986-04-18,Roll_No:In_Time:Date,0,0
1998-09-07,Mrs. Danielle Blair,9687,192,2021273,19:12,Mrs. Danielle Blair,2021273_19:12_1998-09-07,Roll_No:In_Time:Date,0,0
2013-10-03,Christopher Shelton,4050,565,2021874,08:03,Christopher Shelton,2021874_08:03_2013-10-03,Roll_No:In_Time:Date,0,0
1992-12-29,Richard Landry,6349,568,2019690,14:17,Richard Landry,2019690_14:17_1992-12-29,Roll_No:In_Time:Date,0,0
1989-10-06,Victor Mcdonald,9721,265,2021026,23:24,Victor Mcdonald,2021026_23:24_1989-10-06,Roll_No:In_Time:Date,0,0
1998-10-01,Charles Mueller,5237,321,2022120,04:32,Charles Mueller,2022120_04:32_1998-10-01,Roll_No:In_Time:Date,0,0
1998-08-27,Mary Burke,8522,411,2018087,00:36,Mary Burke,2018087_00:36_1998-08-27,Roll_No:In_Time:Date,0,0
2021-12-16,Joshua Maldonado,436,646,2022846,00:15,Joshua Maldonado,2022846_00:15_2021-12-16,Roll_No:In_Time:Date,0,0
1988-04-25,Edward Little,1786,86,2020712,15:11,Edward Little,2020712_15:11_1988-04-25,Roll_No:In_Time:Date,0,0
1988-08-21,Brandon Ray,6485,632,2021424,03:36,Brandon Ray,2021424_03:36_1988-08-21,Roll_No:In_Time:Date,0,0
1974-06-06,Jose Anthony,9202,563,2024355,13:21,Jose Anthony,2024355_13:21_1974-06-06,Roll_No:In_Time:Date,0,0
1984-06-24,Victor Mcdonald,4335,875,2021026,06:29,Victor Mcdonald,2021026_06:29_1984-06-24,Roll_No:In_Time:Date,0,0
1976-06-04,Ryan Harris,3139,926,2022966,22:42,Ryan Harris,2022966_22:42_1976-06-04,Roll_No:In_Time:Date,0,0
2018-01-16,Sheri Morgan,9429,29,2020216,07:04,Sheri Morgan,2020216_07:04_2018-01-16,Roll_No:In_Time:Date,0,0
1979-04-04,Thomas Miller,987,705,2022060,07:32,Thomas Miller,2022060_07:32_1979-04-04,Roll_No:In_Time:Date,0,0
1979-12-07,John Nguyen,1073,166,2024376,08:24,John Nguyen,2024376_08:24_1979-12-07,Roll_No:In_Time:Date,0,0
2011-03-12,Jonathan Robinson,9072,151,2020502,13:29,Jonathan Robinson,2020502_13:29_2011-03-12,Roll_No:In_Time:Date,0,0
1986-07-30,Melissa Mcmahon,2064,812,2021567,04:19,Melissa Mcmahon,2021567_04:19_1986-07-30,Roll_No:In_Time:Date,0,0
1982-06-23,Sierra Rice,1382,316,2020972,03:28,Sierra Rice,2020972_03:28_1982-06-23,Roll_No:In_Time:Date,0,0
2012-11-07,Samantha Trevino,165,576,2024617,20:52,Samantha Trevino,2024617_20:52_2012-11-07,Roll_No:In_Time:Date,0,0
1983-07-31,Christopher Hall,9362,306,2021982,02:25,Christopher Hall,2021982_02:25_1983-07-31,Roll_No:In_Time:Date,0,0
2021-02-13,Lisa Alvarez,7706,791,2023919,03:56,Lisa Alvarez,2023919_03:56_2021-02-13,Roll_No:In_Time:Date,0,0
1983-10-18,Olivia Conley,6447,197,2022620,23:34,Olivia Conley,2022620_23:34_1983-10-18,Roll_No:In_Time:Date,0,0
1974-12-12,Elizabeth Watson,6910,368,2019611,01:57,Elizabeth Watson,2019611_01:57_1974-12-12,Roll_No:In_Time:Date,0,0
1998-12-19,Renee Baird,2757,261,2020115,01:38,Renee Baird,2020115_01:38_1998-12-19,Roll_No:In_Time:Date,0,0
2005-01-23,Janet Brewer,885,497,2023783,14:30,Janet Brewer,2023783_14:30_2005-01-23,Roll_No:In_Time:Date,0,0
1994-03-07,Victor Mcdonald,8585,510,2021026,10:01,Victor Mcdonald,2021026_10:01_1994-03-07,Roll_No:In_Time:Date,0,0
1974-08-12,Elizabeth Gould,5821,555,2022986,19:11,Elizabeth Gould,2022986_19:11_1974-08-12,Roll_No:In_Time:Date,0,0
2022-08-15,Colin Mitchell,6675,661,2023846,22:06,Colin Mitchell,2023846_22:06_2022-08-15,Roll_No:In_Time:Date,0,0
2006-01-08,Mark Hansen,3060,784,2024772,01:23,Mark Hansen,2024772_01:23_2006-01-08,Roll_No:In_Time:Date,0,0
2006-11-23,Timothy Lopez,5918,275,2018420,11:49,Timothy Lopez,2018420_11:49_2006-11-23,Roll_No:In_Time:Date,0,0
1990-05-13,Megan Patterson,2,185,2020636,16:09,Megan Patterson,2020636_16:09_1990-05-13,Roll_No:In_Time:Date,0,0
2015-02-24,Sarah Glenn,1559,482,2022210,16:56,Sarah Glenn,2022210_16:56_2015-02-24,Roll_No:In_Time:Date,0,0
