Sr No,Name,Phone Number,Roll No,Cash,PayTM,Total,Date of Purchase,Breakfast,Lunch,Snack,Dinner
46,Mark Phillips,9824781896,2021773,2500,0,2500,1974-03-08,38,83,84,41
47,Christopher Blankenship,5237847100,2018841,2000,0,2000,2020-08-03,58,93,46,55
48,Mr. Michael Bauer,5209607760,2022580,0,2000,2000,1983-04-08,89,35,33,59
49,Heidi Rogers,1312882255,2019419,0,1500,1500,1997-04-08,58,88,81,43
50,Caleb Williams,679891206,2023875,2000,0,2000,2023-07-07,69,81,43,45
51,Randy Taylor,6405214529,2018483,2500,0,2500,1989-01-27,98,26,35,35
52,Brian Nelson,1079330733,2022070,2000,0,2000,1986-11-25,39,27,39,91
53,Tina Strong,6610389323,2020567,2500,0,2500,1983-09-16,25,19,59,11
54,Brian Nelson,1079330733,2022070,0,2500,2500,2020-09-07,77,18,16,18
55,Rachael Edwards,6731010022,2020468,0,2000,2000,1974-01-19,24,37,53,69
56,Nicholas Warren,2260188821,2020817,2000,0,2000,2010-10-06,10,0,17,93
57,Patricia Kaiser,9057078707,2021192,0,2500,2500,2019-08-13,90,43,93,79
58,Erika Myers DDS,633324870,2018067,1500,0,1500,1991-08-26,33,12,64,95
59,Jason Henry,397432031,2023812,1500,0,1500,1975-12-07,46,93,40,70
60,Krista Day,8528868791,2024154,2500,0,2500,1986-11-12,74,37,15,81
61,Don Burton,2232966358,2018566,1500,0,1500,2018-09-18,66,44,30,31
62,Christopher Blankenship,5237847100,2018841,0,2500,2500,2003-06-01,97,10,3,13
63,Heidi Rogers,1312882255,2019419,1500,0,1500,1979-04-26,82,24,99,61
64,Angela Hernandez,6093134839,2024400,0,1500,1500,2016-11-01,72,3,64,31
65,Joseph Hoffman,7633913488,2021846,0,1500,1500,1977-11-21,66,81,71,22
66,Gina Anderson,2854190736,2020828,2500,0,2500,2018-02-16,58,76,49,62
67,Melissa Chandler,5800461475,2022338,0,2000,2000,1998-04-29,32,71,7,96
68,Ariel Parker,5660675760,2023580,0,2500,2500,1992-12-07,25,15,62,6
69,David Santana,5170905311,2019949,2000,0,2000,1999-04-30,81,43,48,3
70,Ariel Parker,5660675760,2023580,0,1500,1500,2023-02-20,78,1,65,43
71,Adam Schroeder,6282763459,2023597,0,2000,2000,1980-10-10,69,77,52,77
72,Beth Adams,7627282999,2018422,0,1500,1500,1973-09-18,40,3,31,47
73,James Stokes,2200410602,2021730,2000,0,2000,1989-08-19,18,49,51,85
74,Joseph Gibbs,5129315818,2021115,0,2000,2000,1992-05-27,49,11,13,38
75,Travis Smith,8135537382,2020539,2500,0,2500,1985-03-31,95,49,91,42
76,Jordan Rose,6468869152,2021423,0,2000,2000,1998-11-14,12,39,67,42
77,David Grant,6346141664,2022677,1500,0,1500,1972-05-21,63,21,0,37
78,Mr. Jesse Rowe,8492164450,2018093,2500,0,2500,2006-12-01,65,51,5,91
79,Christine Lane,3780162895,2022196,0,2500,2500,1987-01-12,30,39,28,14
80,James Stokes,2200410602,2021730,1500,0,1500,1972-06-14,17,48,29,73
81,Rebecca Ward,7724308736,2018849,0,2000,2000,1988-01-18,43,45,10,5
82,Kelly Gonzalez,5318622493,2019859,0,2000,2000,1983-12-17,49,34,81,71
83,Laura Smith,3957158226,2020305,2000,0,2000,1985-08-26,8,6,32,1
84,Megan Berg,5737691895,2021948,0,2500,2500,2013-09-12,7,91,17,42
85,Terri Martinez,22119436,2023822,0,2000,2000,1992-11-09,56,76,40,54
86,Lisa Jones,712177263,2022865,2500,0,2500,1999-07-28,28,63,99,89
87,Nathan Olson,4067151382,2019109,0,2500,2500,2012-10-19,64,44,72,44
88,Caleb Williams,679891206,2023875,0,2500,2500,1980-11-12,47,62,6,70
89,Melissa Chandler,5800461475,2022338,2500,0,2500,1996-04-21,10,97,51,28
90,Gina Anderson,2854190736,2020828,2000,0,2000,2012-01-19,42,98,66,87
91,Joseph Hoffman,7633913488,2021846,0,1500,1500,2013-09-10,95,96,66,81
92,Melanie Mclaughlin,1156960212,2019815,2000,0,2000,1974-06-03,62,61,1,30
93,Joshua Adkins,8126678205,2020708,0,1500,1500,1974-01-02,68,55,51,5
94,Nicole Roberts,4399698944,2022420,0,2000,2000,1991-01-19,74,94,85,14
95,Nathan Olson,4067151382,2019109,2500,0,2500,2021-08-25,92,19,86,89
96,Darlene Newman,7912843450,2019699,2000,0,2000,1985-11-11,3,93,5,15
97,Megan Henderson,4502753444,2021478,0,2000,2000,1976-01-19,31,6,44,30
98,Rachael Edwards,6731010022,2020468,2500,0,2500,1990-11-06,71,7,13,14
99,Rhonda Anderson,7858498811,2022653,1500,0,1500,2017-03-19,47,43,94,31
100,David Weaver,3245832908,2021056,2500,0,2500,1986-09-05,20,20,98,88
