Roll No,Name,Contact No,Email,Course,Gender
2018652,Tara Nunez,5490004008,tara18652@iiitd.ac.in,BTech,Female
2023276,Sally Singh,3361576795,sally23276@iiitd.ac.in,Mtech,Female
2024315,Crystal Lyons,8426605446,crystal24315@iiitd.ac.in,PhD,Female
2022144,Curtis Glass,3217843249,curtis22144@iiitd.ac.in,BTech,Female
2021458,Eric Jones,8037849419,eric21458@iiitd.ac.in,Mtech,Female
2018965,Cassandra Lewis,7013482978,cassandra18965@iiitd.ac.in,PhD,Male
2021727,Robert Carr,621537236,robert21727@iiitd.ac.in,BTech,Male
2019297,Arthur Wilson,6559977192,arthur19297@iiitd.ac.in,Mtech,Female
2018648,Alexandria Logan,3407464088,alexandria18648@iiitd.ac.in,PhD,Male
2019095,Adam Mills,7500933344,adam19095@iiitd.ac.in,BTech,Male
2021636,Kristy Holloway,6913045592,kristy21636@iiitd.ac.in,Mtech,Female
2024629,Jesus Lopez,8097439541,jesus24629@iiitd.ac.in,PhD,Male
2022203,John Smith,7717864819,john22203@iiitd.ac.in,BTech,Male
2022547,Chad Davis,4491882947,chad22547@iiitd.ac.in,Mtech,Male
2021111,Kristina Ramos,1829973827,kristina21111@iiitd.ac.in,PhD,Male
2019434,Samantha Franco,2188856796,samantha19434@iiitd.ac.in,BTech,Female
2018933,Randy Price,7735333835,randy18933@iiitd.ac.in,Mtech,Female
2022649,Robert Garcia,9316546628,robert22649@iiitd.ac.in,PhD,Female
2021012,Lori Johnson,588051256,lori21012@iiitd.ac.in,BTech,Male
2018523,Robert Anderson,860471502,robert18523@iiitd.ac.in,Mtech,Male
2020731,Mrs. Margaret Gonzales,5718447240,mrs.20731@iiitd.ac.in,PhD,Male
2018393,Jo Avila,3903757405,jo18393@iiitd.ac.in,BTech,Male
2024690,Derrick Adams,5739948692,derrick24690@iiitd.ac.in,Mtech,Male
2019137,Colleen Marshall,624011434,colleen19137@iiitd.ac.in,PhD,Female
2022324,Tamara Jensen,8660529286,tamara22324@iiitd.ac.in,BTech,Female
2019357,Jennifer Jones,257103614,jennifer19357@iiitd.ac.in,Mtech,Male
2018041,Melissa Young,815029361,melissa18041@iiitd.ac.in,PhD,Male
2019844,Amanda Dunlap,6762760361,amanda19844@iiitd.ac.in,BTech,Female
2020922,Amber Zamora,270883070,amber20922@iiitd.ac.in,Mtech,Male
2024107,Bridget Foley,3882958700,bridget24107@iiitd.ac.in,PhD,Female
2018782,Tammy Robinson,3966032919,tammy18782@iiitd.ac.in,BTech,Female
2021577,Tracy Adkins,5963914219,tracy21577@iiitd.ac.in,Mtech,Female
2019187,Carl Barrett,9606317865,carl19187@iiitd.ac.in,PhD,Male
2024687,Adam Williams,9972906674,adam24687@iiitd.ac.in,BTech,Male
2018492,Kevin Hawkins,6155489941,kevin18492@iiitd.ac.in,Mtech,Female
2022015,Ryan Williams,8354480890,ryan22015@iiitd.ac.in,PhD,Male
2019857,Jeffrey Ellis,9406911840,jeffrey19857@iiitd.ac.in,BTech,Female
2020879,Thomas Powell,4325478381,thomas20879@iiitd.ac.in,Mtech,Female
2019578,Janice Jackson,3342718817,janice19578@iiitd.ac.in,PhD,Male
2019843,William Hernandez,2254770607,william19843@iiitd.ac.in,BTech,Male
2019777,Adam Porter,795830000,adam19777@iiitd.ac.in,Mtech,Female
2019241,Maurice Larson,3736791382,maurice19241@iiitd.ac.in,PhD,Female
2022975,Justin Robertson,2013865528,justin22975@iiitd.ac.in,BTech,Male
2024669,Brett Smith,2463638255,brett24669@iiitd.ac.in,Mtech,Female
2021254,Barbara Tucker,9641665926,barbara21254@iiitd.ac.in,PhD,Male
2020357,Kimberly Villegas,7224287247,kimberly20357@iiitd.ac.in,BTech,Male
2019691,Jacob Fox,148610368,jacob19691@iiitd.ac.in,Mtech,Female
2022982,Stacy Roberts,6598593512,stacy22982@iiitd.ac.in,PhD,Male
2024806,Jennifer Watts,7023483452,jennifer24806@iiitd.ac.in,BTech,Male
2021906,Lisa Freeman,9430111130,lisa21906@iiitd.ac.in,Mtech,Male
2021378,Daniel Ray,2445176400,daniel21378@iiitd.ac.in,PhD,Male
